RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1604625681696	 	3.0.2
REQUEST	88		GET /api/v2/pokemon/	1604625690604	1604625690705	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	88	END	1604625690588	1604625690706
USER	Positive: Fetch 10 pokemon characters and validate the schema	90	START	1604625690786	1604625690786
REQUEST	89		GET /api/v2/pokemon/	1604625690703	1604625690798	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	89	END	1604625690688	1604625690800
USER	Positive: Fetch 10 pokemon characters and validate the schema	91	START	1604625690888	1604625690888
REQUEST	90		GET /api/v2/pokemon/	1604625690805	1604625690919	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	90	END	1604625690786	1604625690920
USER	Positive: Fetch 10 pokemon characters and validate the schema	92	START	1604625690989	1604625690989
REQUEST	91		GET /api/v2/pokemon/	1604625690907	1604625691002	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	91	END	1604625690888	1604625691004
USER	Positive: Fetch 10 pokemon characters and validate the schema	93	START	1604625691088	1604625691088
REQUEST	92		GET /api/v2/pokemon/	1604625691012	1604625691112	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	92	END	1604625690989	1604625691113
USER	Positive: Fetch 10 pokemon characters and validate the schema	94	START	1604625691189	1604625691189
REQUEST	93		GET /api/v2/pokemon/	1604625691103	1604625691204	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	93	END	1604625691088	1604625691205
USER	Positive: Fetch 10 pokemon characters and validate the schema	95	START	1604625691288	1604625691288
REQUEST	94		GET /api/v2/pokemon/	1604625691203	1604625691298	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	94	END	1604625691189	1604625691299
USER	Positive: Fetch 10 pokemon characters and validate the schema	96	START	1604625691386	1604625691386
REQUEST	95		GET /api/v2/pokemon/	1604625691302	1604625691400	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	95	END	1604625691288	1604625691401
USER	Positive: Fetch 10 pokemon characters and validate the schema	97	START	1604625691487	1604625691487
REQUEST	96		GET /api/v2/pokemon/	1604625691404	1604625691528	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	96	END	1604625691386	1604625691546
USER	Positive: Fetch 10 pokemon characters and validate the schema	98	START	1604625691588	1604625691588
REQUEST	97		GET /api/v2/pokemon/	1604625691501	1604625691649	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	97	END	1604625691487	1604625691654
USER	Positive: Fetch 10 pokemon characters and validate the schema	99	START	1604625691688	1604625691688
